Date,Total_Passenger,Avg_Passen,Total_trip,Total_dist,Avg_Dist
1/1/2016,91243,1.4169,64396,207874,3.22805
1/2/2016,64687,1.37755,46958,133958,2.85272
1/3/2016,60679,1.37066,44270,129857,2.93329
1/4/2016,59229,1.35412,43740,112022,2.56109
1/5/2016,56470,1.33366,42342,110158,2.60163
1/6/2016,56768,1.35081,42025,111618,2.65598
1/7/2016,57851,1.35131,42811,115772,2.70426
1/8/2016,68983,1.35295,50987,138444,2.71529
1/9/2016,78346,1.37785,56861,163942,2.8832
1/10/2016,69068,1.38477,49877,147130,2.94986
1/11/2016,55954,1.34495,41603,110937,2.66657
1/12/2016,54807,1.33273,41124,107812,2.62164
1/13/2016,62067,1.35402,45839,118111,2.57665
1/14/2016,61792,1.34782,45846,124869,2.72367
1/15/2016,70679,1.34067,52719,147458,2.79706
1/16/2016,82671,1.38649,59626,173743,2.91388
1/17/2016,73525,1.39244,52803,154419,2.92444
1/18/2016,52941,1.3605,38913,105594,2.71358
1/19/2016,59035,1.34283,43963,113673,2.58565
1/20/2016,58591,1.33971,43734,114472,2.61745
1/21/2016,65817,1.35409,48606,127637,2.62596
1/22/2016,77719,1.35041,57552,151360,2.62997
1/23/2016,15619,1.41592,11031,30157.4,2.73388
1/24/2016,29632,1.3463,22010,61623.4,2.79979
1/25/2016,57874,1.34766,42944,116196,2.70575
1/26/2016,59153,1.33465,44321,117366,2.64809
1/27/2016,61343,1.3396,45792,118906,2.59665
1/28/2016,63578,1.33795,47519,126595,2.6641
1/29/2016,77515,1.35114,57370,152268,2.65413
1/30/2016,90012,1.37601,65415,185640,2.83788
1/31/2016,72860,1.39344,52288,155316,2.9704
2/1/2016,56760,1.33691,42456,115157,2.71239
2/2/2016,56802,1.33825,42445,111709,2.63184
2/3/2016,61527,1.33421,46115,118139,2.56183
2/4/2016,64115,1.33398,48063,128409,2.67168
2/5/2016,73872,1.33052,55521,144912,2.61004
2/6/2016,88898,1.37528,64640,184070,2.84762
2/7/2016,77930,1.38495,56269,169068,3.00463
2/8/2016,56009,1.33434,41975,112243,2.67405
2/9/2016,55525,1.33381,41629,108864,2.6151
2/10/2016,63572,1.34359,47315,121944,2.57729
2/11/2016,75557,1.34683,56100,143564,2.55907
2/12/2016,81818,1.33334,61363,164983,2.68864
2/13/2016,96781,1.36983,70652,193874,2.74407
2/14/2016,79653,1.37565,57902,163333,2.82085
2/15/2016,59777,1.35031,44269,122548,2.76825
2/16/2016,56577,1.32564,42679,115779,2.71278
2/17/2016,61419,1.35088,45466,122082,2.68514
2/18/2016,68043,1.3444,50612,135101,2.66935
2/19/2016,77557,1.36055,57004,157250,2.75858
2/20/2016,91715,1.3789,66513,195991,2.94666
2/21/2016,76718,1.39128,55142,164996,2.99221
2/22/2016,54949,1.33439,41179,111319,2.70329
2/23/2016,66157,1.33588,49523,123175,2.48723
2/24/2016,65704,1.32286,49668,127029,2.55755
2/25/2016,69133,1.34257,51493,136303,2.64702
2/26/2016,81222,1.34802,60253,161748,2.68447
2/27/2016,93069,1.38062,67411,193096,2.86446
2/28/2016,74122,1.3793,53739,162667,3.02698
2/29/2016,58116,1.34137,43326,119630,2.76117
3/1/2016,59861,1.32001,45349,120548,2.65822
3/2/2016,65971,1.33731,49331,127463,2.58383
3/3/2016,70798,1.33624,52983,140113,2.64449
3/4/2016,78742,1.34059,58737,158522,2.69885
3/5/2016,93662,1.37492,68122,195343,2.86755
3/6/2016,73781,1.37811,53538,159735,2.98359
3/7/2016,55040,1.33288,41294,113806,2.75599
3/8/2016,56818,1.32064,43023,115951,2.69509
3/9/2016,60132,1.32789,45284,123670,2.73099
3/10/2016,65350,1.33414,48983,136866,2.79415
3/11/2016,77329,1.33432,57954,162792,2.80899
3/12/2016,92958,1.3833,67200,200718,2.98688
3/13/2016,71803,1.38779,51739,159232,3.0776
3/14/2016,61845,1.32954,46516,121617,2.61453
3/15/2016,56050,1.31861,42507,114865,2.70227
3/16/2016,62242,1.3274,46890,127351,2.71595
3/17/2016,67695,1.33266,50797,139047,2.73731
3/18/2016,77073,1.33578,57699,160032,2.77357
3/19/2016,88486,1.37488,64359,187565,2.91435
3/20/2016,77077,1.38588,55616,164936,2.96561
3/21/2016,55937,1.34026,41736,114288,2.73835
3/22/2016,57644,1.33149,43293,117567,2.71562
3/23/2016,59453,1.33213,44630,122497,2.74472
3/24/2016,69085,1.34266,51454,141777,2.75541
3/25/2016,70783,1.36428,51883,148097,2.85444
3/26/2016,86970,1.38901,62613,180726,2.8864
3/27/2016,74158,1.39298,53237,160034,3.00607
3/28/2016,55824,1.3408,41635,114031,2.73883
3/29/2016,58665,1.33975,43788,116387,2.65797
3/30/2016,61665,1.33906,46051,124051,2.69377
3/31/2016,64577,1.34111,48152,134787,2.79919
4/1/2016,76386,1.33954,57024,157752,2.76641
4/2/2016,91551,1.3851,66097,191921,2.90363
4/3/2016,77870,1.38806,56100,163600,2.91622
4/4/2016,62950,1.3497,46640,121436,2.60369
4/5/2016,63962,1.3466,47499,127697,2.68842
4/6/2016,61963,1.33957,46256,123219,2.66385
4/7/2016,65302,1.34771,48454,131687,2.71778
4/8/2016,79250,1.34738,58818,163386,2.77783
4/9/2016,95573,1.3921,68654,196974,2.86908
4/10/2016,77738,1.38758,56024,172133,3.07249
4/11/2016,57213,1.35524,42216,118962,2.81793
4/12/2016,59306,1.3421,44189,117839,2.66671
4/13/2016,61751,1.35591,45542,123269,2.70671
4/14/2016,65687,1.34417,48868,133873,2.73947
4/15/2016,77480,1.35412,57218,159737,2.79173
4/16/2016,93887,1.38376,67849,203003,2.99198
4/17/2016,79110,1.40613,56261,174450,3.10073
4/18/2016,55293,1.34001,41263,120039,2.90912
4/19/2016,56172,1.34081,41894,113884,2.71838
4/20/2016,60213,1.33223,45197,122795,2.71689
4/21/2016,63229,1.33581,47334,131606,2.78037
4/22/2016,72978,1.35715,53773,151849,2.82389
4/23/2016,86891,1.40122,62011,184999,2.98333
4/24/2016,74129,1.40668,52698,162233,3.07853
4/25/2016,51021,1.34773,37857,109821,2.90096
4/26/2016,57127,1.34328,42528,114858,2.70077
4/27/2016,57769,1.35586,42607,119026,2.79357
4/28/2016,61454,1.34812,45585,126671,2.77878
4/29/2016,75048,1.35066,55564,152406,2.7429
4/30/2016,86494,1.39721,61905,186787,3.01732
5/1/2016,72196,1.38903,51976,156908,3.01886
5/2/2016,54557,1.34393,40595,114179,2.81264
5/3/2016,59738,1.34955,44265,118567,2.67858
5/4/2016,61964,1.34205,46171,123134,2.66692
5/5/2016,67823,1.34146,50559,139159,2.75241
5/6/2016,81255,1.3529,60060,166756,2.7765
5/7/2016,92581,1.37265,67447,201800,2.99198
5/8/2016,79782,1.37593,57984,178471,3.07794
5/9/2016,53625,1.33127,40281,114287,2.83725
5/10/2016,54938,1.33559,41134,112067,2.72444
5/11/2016,56948,1.33715,42589,117718,2.76404
5/12/2016,64713,1.3363,48427,136005,2.80845
5/13/2016,75238,1.35114,55685,154497,2.77448
5/14/2016,93623,1.38911,67398,205097,3.04307
5/15/2016,79935,1.38894,57551,177907,3.09128
5/16/2016,55224,1.33802,41273,118210,2.86409
5/17/2016,59338,1.35757,43709,128095,2.93064
5/18/2016,62461,1.35493,46099,131488,2.85229
5/19/2016,65701,1.35207,48593,142293,2.92826
5/20/2016,74782,1.34815,55470,160323,2.89027
5/21/2016,93231,1.37594,67758,208810,3.0817
5/22/2016,72697,1.38278,52573,167562,3.18723
5/23/2016,51893,1.32151,39268,111715,2.84493
5/24/2016,55247,1.3488,40960,112912,2.75665
5/25/2016,60074,1.34217,44759,124068,2.77191
5/26/2016,64301,1.34302,47878,134074,2.80033
5/27/2016,71204,1.35094,52707,150754,2.86022
5/28/2016,79700,1.39178,57265,173794,3.03491
5/29/2016,69454,1.38606,50109,159051,3.17411
5/30/2016,50893,1.37367,37049,113169,3.05457
5/31/2016,52736,1.33892,39387,110497,2.80541
6/1/2016,57074,1.33136,42869,116316,2.71328
6/2/2016,62205,1.34239,46339,126604,2.73213
6/3/2016,73310,1.34783,54391,153725,2.8263
6/4/2016,91638,1.38455,66186,201973,3.0516
6/5/2016,71515,1.38724,51552,158555,3.07563
6/6/2016,51430,1.31895,38993,111659,2.86356
6/7/2016,54937,1.35263,40615,110404,2.71829
6/8/2016,63948,1.3526,47278,126279,2.67099
6/9/2016,60861,1.35121,45042,126540,2.80937
6/10/2016,68311,1.34484,50795,142735,2.81003
6/11/2016,82212,1.38689,59278,176597,2.97913
6/12/2016,67568,1.39373,48480,148714,3.06754
6/13/2016,50385,1.32798,37941,106451,2.80571
6/14/2016,50836,1.34711,37737,106105,2.81171
6/15/2016,56825,1.3473,42177,116904,2.77175
6/16/2016,61928,1.35551,45686,130307,2.85223
6/17/2016,71084,1.35846,52327,149135,2.85006
6/18/2016,84386,1.38544,60909,183676,3.01558
6/19/2016,73315,1.39573,52528,162100,3.08597
6/20/2016,51161,1.32889,38499,108543,2.81937
6/21/2016,52901,1.34646,39289,109719,2.7926
6/22/2016,56279,1.34417,41869,116399,2.78008
6/23/2016,61091,1.35661,45032,125470,2.78625
6/24/2016,68580,1.35328,50677,142804,2.81793
6/25/2016,81539,1.38314,58952,179813,3.05016
6/26/2016,70877,1.37992,51363,161435,3.14301
6/27/2016,53732,1.34897,39832,112761,2.8309
6/28/2016,50444,1.34528,37497,103470,2.75943
6/29/2016,51045,1.33738,38168,106888,2.80045
6/30/2016,57060,1.34496,42425,122634,2.89061
7/1/2016,65050,1.34618,48322,135366,2.80134
7/2/2016,63570,1.36925,46427,141279,3.04304
7/3/2016,56707,1.37378,41278,126617,3.06743
7/4/2016,51951,1.37721,37722,115549,3.06317
7/5/2016,48966,1.34007,36540,103177,2.82366
7/6/2016,39620,1.30591,30339,84635.7,2.78967
7/7/2016,52002,1.32882,39134,108394,2.76981
7/8/2016,61784,1.34776,45842,127806,2.78797
7/9/2016,72682,1.3789,52710,156814,2.97503
7/10/2016,62039,1.38647,44746,138260,3.08988
7/11/2016,45841,1.33585,34316,97469.2,2.84034
7/12/2016,46779,1.33861,34946,97952.9,2.80298
7/13/2016,52337,1.34646,38870,108917,2.80208
7/14/2016,56542,1.34544,42025,116967,2.78327
7/15/2016,65729,1.35655,48453,138779,2.8642
7/16/2016,77892,1.38362,56296,169605,3.01273
7/17/2016,66405,1.3816,48064,147988,3.07898
7/18/2016,50555,1.3597,37181,105346,2.83333
7/19/2016,47606,1.34766,35325,98600.8,2.79125
7/20/2016,51046,1.34939,37829,107187,2.83346
7/21/2016,56310,1.3607,41383,116695,2.81987
7/22/2016,66188,1.35587,48816,139688,2.86152
7/23/2016,75637,1.38947,54436,166431,3.05738
7/24/2016,64618,1.39851,46205,145960,3.15897
7/25/2016,51245,1.34901,37987,106694,2.80869
7/26/2016,49594,1.35592,36576,104402,2.85438
7/27/2016,52684,1.3636,38636,109268,2.82813
7/28/2016,58555,1.36241,42979,120206,2.79686
7/29/2016,64660,1.35721,47642,135069,2.83508
7/30/2016,79203,1.39557,56753,165785,2.92116
7/31/2016,62936,1.40696,44732,136117,3.04294
8/1/2016,48736,1.35944,35850,103303,2.88154
8/2/2016,50052,1.35265,37003,105244,2.84421
8/3/2016,52490,1.35068,38862,109927,2.82864
8/4/2016,56897,1.3616,41787,121294,2.90268
8/5/2016,63129,1.36066,46396,132859,2.86358
8/6/2016,73739,1.39941,52693,158998,3.01745
8/7/2016,62715,1.39478,44964,139732,3.10763
8/8/2016,44959,1.34692,33379,95834.2,2.87109
8/9/2016,47644,1.36359,34940,100624,2.87989
8/10/2016,52074,1.36878,38044,106404,2.79686
8/11/2016,57447,1.35112,42518,119223,2.80405
8/12/2016,66264,1.35401,48939,137521,2.81004
8/13/2016,76544,1.38481,55274,161283,2.91789
8/14/2016,62210,1.38116,45042,137031,3.04229
8/15/2016,48013,1.35853,35342,100646,2.84778
8/16/2016,48416,1.36199,35548,98908.3,2.78239
8/17/2016,50274,1.35982,36971,104744,2.83313
8/18/2016,53248,1.3564,39257,112423,2.86376
8/19/2016,62451,1.34483,46438,134026,2.88612
8/20/2016,72335,1.3917,51976,157929,3.0385
8/21/2016,62346,1.38908,44883,137313,3.05935
8/22/2016,43386,1.35281,32071,93610.8,2.91886
8/23/2016,43511,1.34297,32399,90780.2,2.80194
8/24/2016,46258,1.34299,34444,97149.9,2.82052
8/25/2016,51443,1.35626,37930,107352,2.83028
8/26/2016,56543,1.33804,42258,118429,2.80252
8/27/2016,65701,1.37741,47699,141784,2.97248
8/28/2016,55704,1.36858,40702,124056,3.0479
8/29/2016,41310,1.34543,30704,88683.1,2.88832
8/30/2016,40100,1.32177,30338,86587,2.85408
8/31/2016,43850,1.32782,33024,93343.5,2.82654
9/1/2016,50614,1.34451,37645,104882,2.78609
9/2/2016,54773,1.347,40663,117384,2.88674
9/3/2016,57149,1.37841,41460,127928,3.08557
9/4/2016,50740,1.3741,36926,115370,3.12436
9/5/2016,39123,1.35014,28977,91904.6,3.17164
9/6/2016,42608,1.31958,32289,90625.5,2.8067
9/7/2016,46017,1.33918,34362,95582.8,2.78164
9/8/2016,51121,1.33695,38237,108391,2.8347
9/9/2016,59498,1.33869,44445,120935,2.721
9/10/2016,69374,1.36611,50782,150254,2.95881
9/11/2016,56399,1.36672,41266,127480,3.08924
9/12/2016,34239,1.30167,26304,75955.1,2.88759
9/13/2016,42140,1.31943,31938,87018.3,2.7246
9/14/2016,48513,1.31761,36819,97207.4,2.64014
9/15/2016,51426,1.33225,38601,104085,2.69643
9/16/2016,57638,1.33483,43180,118674,2.74836
9/17/2016,68481,1.35351,50595,149167,2.94826
9/18/2016,56728,1.36454,41573,125451,3.0176
9/19/2016,44902,1.31933,34034,92457.3,2.71662
9/20/2016,44362,1.31701,33684,91519.6,2.71701
9/21/2016,46005,1.31128,35084,96059.7,2.73799
9/22/2016,51282,1.33578,38391,107837,2.80892
9/23/2016,59237,1.33594,44341,121362,2.73701
9/24/2016,69569,1.36836,50841,152016,2.99003
9/25/2016,56011,1.36759,40956,125047,3.0532
9/26/2016,42851,1.33222,32165,87658.7,2.72528
9/27/2016,43754,1.35002,32410,87125.7,2.68824
9/28/2016,49547,1.34595,36812,96198,2.61322
9/29/2016,52259,1.3534,38613,101407,2.62624
9/30/2016,65483,1.33693,48980,125329,2.55879
10/1/2016,69029,1.35689,50873,151355,2.97515
10/2/2016,56916,1.36696,41637,129729,3.11572
10/3/2016,41581,1.34206,30983,85613.6,2.76324
10/4/2016,41412,1.33415,31040,83044,2.67539
10/5/2016,48136,1.33901,35949,96994.7,2.69812
10/6/2016,51920,1.33728,38825,106483,2.74264
10/7/2016,59973,1.34429,44613,121412,2.72146
10/8/2016,73952,1.39109,53161,153432,2.88618
