Date,Total_Passenger,Avg_Passen,Total_trip,Total_dist(mi),Avg_Dist(mi),Avg_speed(mi/h),Avg_duration(s)
1/1/2016,90227,1.41615,63713,205514,3.22563,17.2715,764.513
1/2/2016,64156,1.37733,46580,132882,2.85277,16.972,730.154
1/3/2016,60168,1.36998,43919,128878,2.93444,17.0585,711.582
1/4/2016,58913,1.35398,43511,111508,2.56276,15.8993,721.473
1/5/2016,56094,1.33265,42092,109424,2.59964,14.8819,756.675
1/6/2016,56386,1.35017,41762,110724,2.65131,15.0227,765.62
1/7/2016,57481,1.35081,42553,115135,2.70568,15.2645,775.937
1/8/2016,68547,1.35337,50649,137593,2.71659,14.1604,773.05
1/9/2016,77768,1.3775,56456,162876,2.885,16.6426,755.422
1/10/2016,68554,1.38437,49520,146077,2.94985,15.7864,731.991
1/11/2016,55663,1.34504,41384,110454,2.66901,17.1251,750.4
1/12/2016,54408,1.33235,40836,107150,2.62392,16.3296,778.817
1/13/2016,61717,1.35377,45589,117537,2.5782,15.8116,755.506
1/14/2016,61390,1.34713,45571,124247,2.72645,14.1827,782.778
1/15/2016,70198,1.34063,52362,146515,2.79811,14.9235,816.245
1/16/2016,82047,1.38612,59192,172553,2.91514,16.7193,771.757
1/17/2016,72924,1.39234,52375,153262,2.92624,17.682,725.906
1/18/2016,52581,1.36009,38660,104948,2.71465,16.4045,709.277
1/19/2016,58482,1.34192,43581,112737,2.58683,14.805,789.726
1/20/2016,58217,1.33903,43477,113733,2.61594,13.4766,791.031
1/21/2016,65360,1.35391,48275,126858,2.62781,14.6663,800.431
1/22/2016,77241,1.351,57173,150464,2.63173,14.6606,797.318
1/23/2016,15455,1.41529,10920,29844.2,2.73298,15.0461,822.285
1/24/2016,29431,1.34646,21858,61286.7,2.80385,19.9786,849.218
1/25/2016,57535,1.34818,42676,115430,2.70481,14.1989,954.754
1/26/2016,58791,1.33431,44061,116734,2.64937,14.1178,919.823
1/27/2016,60909,1.33901,45488,118267,2.59996,14.2415,855.337
1/28/2016,63161,1.33748,47224,125826,2.66445,14.3907,851.049
1/29/2016,77013,1.35082,57012,151182,2.65176,14.1138,813.455
1/30/2016,89374,1.37596,64954,184295,2.83732,15.0016,805.868
1/31/2016,72234,1.39249,51874,153985,2.96845,15.3882,770.926
2/1/2016,56423,1.33666,42212,114596,2.71478,15.1059,796.571
2/2/2016,56433,1.33842,42164,111085,2.63459,15.3451,791.576
2/3/2016,61179,1.33433,45850,117512,2.56297,13.8607,793.72
2/4/2016,63703,1.33426,47744,127254,2.66533,16.046,801.136
2/5/2016,73428,1.33039,55193,144160,2.61192,14.3271,760.268
2/6/2016,88162,1.3751,64113,182628,2.84853,15.5732,780.136
2/7/2016,77286,1.38441,55826,167783,3.00546,15.643,753.817
2/8/2016,55671,1.33411,41729,111549,2.67318,15.5734,709.318
2/9/2016,55189,1.33365,41382,108295,2.61695,15.814,757.474
2/10/2016,63118,1.34271,47008,121166,2.57756,15.2501,756.954
2/11/2016,75061,1.34718,55717,142735,2.56179,14.2093,777.307
2/12/2016,81223,1.33277,60943,163780,2.68743,15.9736,830.774
2/13/2016,96107,1.36973,70165,192656,2.74576,15.5553,734.401
2/14/2016,79001,1.37546,57436,162082,2.82196,15.5613,720.921
2/15/2016,59340,1.35036,43944,121743,2.77042,15.8711,740.066
2/16/2016,56228,1.32535,42425,115145,2.71408,14.7587,785.968
2/17/2016,61036,1.35095,45180,121436,2.68782,16.1079,765.689
2/18/2016,67577,1.34351,50299,134371,2.67144,14.953,771.674
2/19/2016,77006,1.36039,56606,156112,2.75787,14.4277,777.487
2/20/2016,91071,1.37882,66050,194652,2.94705,15.1108,798.784
2/21/2016,76127,1.39111,54724,163813,2.99343,16.2293,766.353
2/22/2016,54623,1.33487,40920,110624,2.70343,14.7772,758.994
2/23/2016,65748,1.33545,49233,122497,2.4881,13.8482,769.774
2/24/2016,65298,1.32244,49377,126400,2.55989,14.9896,789.773
2/25/2016,68746,1.34275,51198,135628,2.64909,13.5377,819.948
2/26/2016,80684,1.34806,59852,160681,2.68463,14.5584,823.256
2/27/2016,92250,1.37993,66851,191545,2.86525,14.7007,788.35
2/28/2016,73480,1.37882,53292,161204,3.02493,16.0295,776.214
2/29/2016,57759,1.34124,43064,118949,2.76214,14.973,789.087
3/1/2016,59514,1.31983,45092,119900,2.65901,14.786,784.249
3/2/2016,65560,1.3373,49024,126720,2.58486,15.1673,765.399
3/3/2016,70354,1.336,52660,139365,2.6465,13.7724,782.688
3/4/2016,78192,1.33989,58357,157467,2.69835,14.5801,795.987
3/5/2016,92913,1.37439,67603,193921,2.86852,14.707,784.793
3/6/2016,73151,1.37758,53101,158515,2.98516,16.1683,768.855
3/7/2016,54657,1.33193,41036,113096,2.75602,14.8142,779.95
3/8/2016,56515,1.32057,42796,115326,2.69479,15.4913,810.827
3/9/2016,59823,1.32775,45056,123082,2.73176,14.5527,827.2
3/10/2016,64996,1.33385,48728,136232,2.79576,15.1927,821.669
3/11/2016,76887,1.33454,57613,161825,2.80883,15.1621,833.726
3/12/2016,92293,1.38352,66709,199311,2.98777,15.6693,808.836
3/13/2016,71291,1.38739,51385,158292,3.0805,15.6959,819.635
3/14/2016,61463,1.32936,46235,120911,2.61513,15.3473,776.281
3/15/2016,55675,1.31813,42238,114061,2.70044,16.3799,800.896
3/16/2016,61777,1.32668,46565,126479,2.71619,14.5523,805.729
3/17/2016,67202,1.33242,50436,138043,2.737,15.4066,804.022
3/18/2016,76476,1.33499,57286,158867,2.77323,15.7165,822.575
3/19/2016,87801,1.37432,63887,186189,2.91435,17.0887,778.487
3/20/2016,76464,1.38537,55194,163792,2.96758,16.762,736.764
3/21/2016,55626,1.34042,41499,113615,2.73779,15.2332,752.122
3/22/2016,57297,1.33187,43020,116866,2.71655,15.2005,804.451
3/23/2016,59042,1.33181,44332,121697,2.74513,14.9364,802.466
3/24/2016,68580,1.34194,51105,140832,2.75573,14.8797,832.524
3/25/2016,70273,1.36317,51551,147164,2.85472,17.2058,769.178
